Receipt ID,Item,Quantity,Price,Item Total
31,Pensil,7,3000,21000
31,Kit Kat,1,5000,5000
31,Decolgen,3,30000,90000
31,Telur,7,20000,140000
31,TOTAL,,,256000
,,,,
32,Head & Shoulders,10,60000,600000
32,prochiz,9,25000,225000
32,Promag,9,10000,90000
32,Susu,1,15000,15000
32,TOTAL,,,930000
,,,,
33,Air Mineral,7,3000,21000
33,Sepatu,1,150000,150000
33,Popok Bayi Sekali Pakai,1,50000,50000
33,Penggaris,5,15000,75000
33,TOTAL,,,296000
,,,,
34,Jus Buah,8,15000,120000
34,Promag,3,10000,30000
34,Voucher Garena,5,100000,500000
34,Anggur,8,30000,240000
34,TOTAL,,,890000
,,,,
35,Gayung,8,20000,160000
35,Penggaris,3,15000,45000
35,Rokok,5,20000,100000
35,Vitamin C,10,50000,500000
35,TOTAL,,,805000
,,,,
36,Air Mineral,5,3000,15000
36,Sepatu,6,150000,900000
36,Baju Anak,1,50000,50000
36,Mayonnaise,8,20000,160000
36,TOTAL,,,1125000
,,,,
37,Ultra Milk,7,10000,70000
37,Penghapus,2,5000,10000
37,Oatmeal Instan,1,30000,30000
37,Mayonnaise,4,20000,80000
37,TOTAL,,,190000
,,,,
38,Penggaris,8,15000,120000
38,Kipas Angin,8,100000,800000
38,Celana Jeans,8,25000,200000
38,Head & Shoulders,1,60000,60000
38,TOTAL,,,1180000
,,,,
39,Muffin,2,25000,50000
39,Mayonnaise,7,20000,140000
39,Sprite,1,10000,10000
39,prochiz,9,25000,225000
39,TOTAL,,,425000
,,,,
40,Daging Sapi Segar,4,75000,300000
40,Celana Jeans,1,25000,25000
40,Mayonnaise,2,20000,40000
40,Kopi,6,20000,120000
40,TOTAL,,,485000
,,,,
