Receipt ID,Item,Quantity,Price,Item Total
61,Popok Bayi Sekali Pakai,3,50000,150000
61,Oatmeal Instan,1,30000,30000
61,Tomat,2,25000,50000
61,Earphone,9,50000,450000
61,Penggaris,4,15000,60000
61,Mayonnaise,9,20000,180000
61,Sepatu,5,150000,750000
61,TOTAL,,,1670000
,,,,
62,Susu,10,15000,150000
62,Oatmeal Instan,2,30000,60000
62,Roti,9,25000,225000
62,Kit Kat,10,5000,50000
62,Spidol,10,10000,100000
62,Ember,2,30000,60000
62,Bulpen,1,10000,10000
62,TOTAL,,,655000
,,,,
63,Lifebuoy Body Wash,1,30000,30000
63,Pasta Gigi,5,15000,75000
63,Pensil,5,3000,15000
63,Voucher Garena,10,100000,1000000
63,Seafood Beku,9,75000,675000
63,Bulpen,2,10000,20000
63,Penggaris,5,15000,75000
63,TOTAL,,,1890000
,,,,
64,Sepatu,2,150000,300000
64,Voucher Garena,10,100000,1000000
64,Sikat Gigi,10,20000,200000
64,Lifebuoy Body Wash,9,30000,270000
64,Telur,5,20000,100000
64,Spidol,4,10000,40000
64,Pensil,4,3000,12000
64,TOTAL,,,1922000
,,,,
65,Sikat Gigi,6,20000,120000
65,Oatmeal Instan,1,30000,30000
65,Taro,6,15000,90000
65,Kopi,8,20000,160000
65,Air Mineral,8,3000,24000
65,Jus Buah,5,15000,75000
65,Rokok,7,20000,140000
65,TOTAL,,,639000
,,,,
66,Teh,10,10000,100000
66,Jus Buah,7,15000,105000
66,Vitamin D,8,20000,160000
66,Rokok,7,20000,140000
66,Seafood Beku,9,75000,675000
66,Sabun Cuci Muka,10,25000,250000
66,Earphone,8,50000,400000
66,TOTAL,,,1830000
,,,,
67,Popok Bayi Sekali Pakai,4,50000,200000
67,Rokok,6,20000,120000
67,Penggaris,8,15000,120000
67,Jus Buah,3,15000,45000
67,Sikat Gigi,1,20000,20000
67,Teh,6,10000,60000
67,Sapu,1,30000,30000
67,TOTAL,,,595000
,,,,
68,Teh,8,10000,80000
68,Sikat Gigi,6,20000,120000
68,Vitamin D,8,20000,160000
68,Pasta Gigi,7,15000,105000
68,Susu,5,15000,75000
68,Kit Kat,1,5000,5000
68,Voucher Garena,3,100000,300000
68,TOTAL,,,845000
,,,,
69,Sepatu,10,150000,1500000
69,Seafood Beku,5,75000,375000
69,Rokok,2,20000,40000
69,Pensil,9,3000,27000
69,Gayung,6,20000,120000
69,Sprite,1,10000,10000
69,Mayonnaise,2,20000,40000
69,TOTAL,,,2112000
,,,,
70,Penggaris,10,15000,150000
70,Pepperoni,2,25000,50000
70,Ember,5,30000,150000
70,Penghapus,1,5000,5000
70,Bulpen,1,10000,10000
70,Chitos,6,12000,72000
70,Celana Jeans,6,25000,150000
70,TOTAL,,,587000
,,,,
