Receipt ID,Item,Quantity,Price,Item Total
51,Jus Buah,3,15000,45000
51,Yogurt,9,10000,90000
51,Penghapus,10,5000,50000
51,prochiz,5,25000,125000
51,Voucher Steam,5,10000,50000
51,Earphone,4,50000,200000
51,TOTAL,,,560000
,,,,
52,Jus Buah,4,15000,60000
52,Voucher Garena,1,100000,100000
52,Air Mineral,7,3000,21000
52,Earphone,5,50000,250000
52,Gayung,1,20000,20000
52,Voucher Steam,6,10000,60000
52,TOTAL,,,511000
,,,,
53,Head & Shoulders,6,60000,360000
53,Voucher Steam,5,10000,50000
53,Ayam Goreng,3,50000,150000
53,Gunting,1,30000,30000
53,Kit Kat,4,5000,20000
53,Jus Buah,6,15000,90000
53,TOTAL,,,700000
,,,,
54,Pasta Gigi,5,15000,75000
54,Silver Queen,9,10000,90000
54,Decolgen,3,30000,90000
54,Spidol,1,10000,10000
54,Voucher Goggle Play,4,50000,200000
54,Teh,10,10000,100000
54,TOTAL,,,565000
,,,,
55,Muffin,7,25000,175000
55,Vitamin C,9,50000,450000
55,Yogurt,2,10000,20000
55,Paracetamol,1,30000,30000
55,Minyak Kayu Putih,7,15000,105000
55,Vitamin D,7,20000,140000
55,TOTAL,,,920000
,,,,
56,Spidol,5,10000,50000
56,Seafood Beku,5,75000,375000
56,Popok Bayi Sekali Pakai,1,50000,50000
56,Air Mineral,9,3000,27000
56,Sapu,8,30000,240000
56,Bulpen,2,10000,20000
56,TOTAL,,,762000
,,,,
57,Promag,3,10000,30000
57,Pasta Gigi,4,15000,60000
57,prochiz,2,25000,50000
57,Ultra Milk,8,10000,80000
57,Voucher Steam,1,10000,10000
57,Chitos,1,12000,12000
57,TOTAL,,,242000
,,,,
58,Voucher Garena,3,100000,300000
58,Celana Jeans,4,25000,100000
58,Earphone,4,50000,200000
58,Lemon,10,30000,300000
58,Seafood Beku,2,75000,150000
58,Lifebuoy Body Wash,9,30000,270000
58,TOTAL,,,1320000
,,,,
59,Head & Shoulders,9,60000,540000
59,Gayung,9,20000,180000
59,Penghapus,8,5000,40000
59,Celana Jeans,5,25000,125000
59,Chitos,4,12000,48000
59,Silver Queen,8,10000,80000
59,TOTAL,,,1013000
,,,,
60,Anggur,2,30000,60000
60,Ember,8,30000,240000
60,Voucher Garena,9,100000,900000
60,Spidol,2,10000,20000
60,Daging Sapi Segar,6,75000,450000
60,Ayam Goreng,10,50000,500000
60,TOTAL,,,2170000
,,,,
