Receipt ID,Item,Quantity,Price,Item Total
81,Pensil,9,3000,27000
81,Kit Kat,1,5000,5000
81,Sabun Cuci Muka,8,25000,200000
81,Anggur,1,30000,30000
81,Penggaris,10,15000,150000
81,Panadol,10,5000,50000
81,Spidol,8,10000,80000
81,Jus Buah,6,15000,90000
81,Rokok,7,20000,140000
81,TOTAL,,,772000
,,,,
82,Decolgen,4,30000,120000
82,Susu,2,15000,30000
82,Bulpen,6,10000,60000
82,Mayonnaise,10,20000,200000
82,Gunting,1,30000,30000
82,Sepatu,10,150000,1500000
82,Paracetamol,10,30000,300000
82,Voucher Goggle Play,7,50000,350000
82,Seafood Beku,2,75000,150000
82,TOTAL,,,2740000
,,,,
83,Telur,2,20000,40000
83,prochiz,2,25000,50000
83,Decolgen,7,30000,210000
83,Celana Jeans,7,25000,175000
83,Lemon,3,30000,90000
83,Sapu,6,30000,180000
83,Roti,7,25000,175000
83,Taro,9,15000,135000
83,Mayonnaise,2,20000,40000
83,TOTAL,,,1095000
,,,,
84,Ember,7,30000,210000
84,Panadol,9,5000,45000
84,Lifebuoy Body Wash,5,30000,150000
84,Jus Buah,9,15000,135000
84,Voucher Goggle Play,4,50000,200000
84,Cupcakes,4,5000,20000
84,Sapu,5,30000,150000
84,Decolgen,10,30000,300000
84,Seafood Beku,8,75000,600000
84,TOTAL,,,1810000
,,,,
85,Bulpen,4,10000,40000
85,Muffin,3,25000,75000
85,Susu,6,15000,90000
85,Decolgen,9,30000,270000
85,Ultra Milk,2,10000,20000
85,Voucher Garena,1,100000,100000
85,Chitos,6,12000,72000
85,Kit Kat,3,5000,15000
85,Kipas Angin,8,100000,800000
85,TOTAL,,,1482000
,,,,
86,Lemon,6,30000,180000
86,Gunting,10,30000,300000
86,Decolgen,7,30000,210000
86,Vitamin C,10,50000,500000
86,Cupcakes,5,5000,25000
86,Voucher Steam,4,10000,40000
86,Voucher Goggle Play,3,50000,150000
86,Head & Shoulders,2,60000,120000
86,Lifebuoy Body Wash,10,30000,300000
86,TOTAL,,,1825000
,,,,
87,Ultra Milk,5,10000,50000
87,Minyak Kayu Putih,6,15000,90000
87,Lifebuoy Body Wash,10,30000,300000
87,Penggaris,4,15000,60000
87,Sabun Cuci Muka,9,25000,225000
87,Sapu,8,30000,240000
87,Kipas Angin,4,100000,400000
87,Head & Shoulders,4,60000,240000
87,Baju Anak,3,50000,150000
87,TOTAL,,,1755000
,,,,
88,Muffin,10,25000,250000
88,Air Mineral,10,3000,30000
88,Yogurt,5,10000,50000
88,Voucher Steam,10,10000,100000
88,Vitamin D,2,20000,40000
88,Daging Sapi Segar,9,75000,675000
88,Roti,7,25000,175000
88,Lifebuoy Body Wash,8,30000,240000
88,Rokok,3,20000,60000
88,TOTAL,,,1620000
,,,,
89,Seafood Beku,8,75000,600000
89,Lemon,5,30000,150000
89,Roti,9,25000,225000
89,Popok Bayi Sekali Pakai,6,50000,300000
89,Kit Kat,8,5000,40000
89,Sabun Cuci Muka,3,25000,75000
89,Anggur,2,30000,60000
89,Air Mineral,1,3000,3000
89,Voucher Goggle Play,6,50000,300000
89,TOTAL,,,1753000
,,,,
90,Silver Queen,3,10000,30000
90,Tomat,2,25000,50000
90,Vitamin C,5,50000,250000
90,Seafood Beku,7,75000,525000
90,Teh,7,10000,70000
90,Mayonnaise,4,20000,80000
90,Baju Anak,1,50000,50000
90,Panadol,8,5000,40000
90,Jus Buah,10,15000,150000
90,TOTAL,,,1245000
,,,,
