Receipt ID,Item,Quantity,Price,Item Total
91,Paracetamol,3,30000,90000
91,Sapu,10,30000,300000
91,Promag,3,10000,30000
91,Lifebuoy Body Wash,3,30000,90000
91,Kopi,6,20000,120000
91,Roti,5,25000,125000
91,Voucher Steam,4,10000,40000
91,Ayam Goreng,5,50000,250000
91,Voucher Garena,7,100000,700000
91,Popok Bayi Sekali Pakai,1,50000,50000
91,TOTAL,,,1795000
,,,,
92,Earphone,9,50000,450000
92,Head & Shoulders,5,60000,300000
92,Muffin,2,25000,50000
92,Gayung,1,20000,20000
92,Decolgen,10,30000,300000
92,Lifebuoy Body Wash,5,30000,150000
92,Tomat,6,25000,150000
92,Sprite,6,10000,60000
92,Ayam Goreng,2,50000,100000
92,Voucher Steam,7,10000,70000
92,TOTAL,,,1650000
,,,,
93,Sikat Gigi,7,20000,140000
93,Bulpen,6,10000,60000
93,Roti,8,25000,200000
93,Head & Shoulders,3,60000,180000
93,Vitamin D,7,20000,140000
93,Penghapus,2,5000,10000
93,Pepperoni,7,25000,175000
93,Mayonnaise,4,20000,80000
93,Kipas Angin,1,100000,100000
93,Pasta Gigi,1,15000,15000
93,TOTAL,,,1100000
,,,,
94,Voucher Steam,4,10000,40000
94,Muffin,9,25000,225000
94,Kit Kat,5,5000,25000
94,Daging Sapi Segar,2,75000,150000
94,Decolgen,3,30000,90000
94,Minyak Kayu Putih,9,15000,135000
94,Teh,4,10000,40000
94,Taro,7,15000,105000
94,Penggaris,5,15000,75000
94,Pasta Gigi,2,15000,30000
94,TOTAL,,,915000
,,,,
95,Chitos,6,12000,72000
95,Head & Shoulders,2,60000,120000
95,Kipas Angin,1,100000,100000
95,Daging Sapi Segar,9,75000,675000
95,Promag,5,10000,50000
95,Sprite,9,10000,90000
95,Celana Jeans,5,25000,125000
95,Gayung,9,20000,180000
95,Pensil,1,3000,3000
95,Yogurt,4,10000,40000
95,TOTAL,,,1455000
,,,,
96,Roti,5,25000,125000
96,Kipas Angin,1,100000,100000
96,Teh,5,10000,50000
96,Voucher Garena,1,100000,100000
96,Daging Sapi Segar,1,75000,75000
96,Kopi,8,20000,160000
96,Pensil,7,3000,21000
96,Pepperoni,6,25000,150000
96,Lifebuoy Body Wash,5,30000,150000
96,Taro,1,15000,15000
96,TOTAL,,,946000
,,,,
97,Kopi,3,20000,60000
97,Pasta Gigi,3,15000,45000
97,Lemon,10,30000,300000
97,Daging Sapi Segar,5,75000,375000
97,Panadol,7,5000,35000
97,Cupcakes,1,5000,5000
97,Lifebuoy Body Wash,5,30000,150000
97,Anggur,10,30000,300000
97,Baju Anak,1,50000,50000
97,Roti,8,25000,200000
97,TOTAL,,,1520000
,,,,
98,Kipas Angin,7,100000,700000
98,Kit Kat,3,5000,15000
98,Earphone,5,50000,250000
98,Penggaris,4,15000,60000
98,Susu,8,15000,120000
98,Sepatu,6,150000,900000
98,Rokok,7,20000,140000
98,Air Mineral,7,3000,21000
98,Voucher Goggle Play,1,50000,50000
98,Taro,2,15000,30000
98,TOTAL,,,2286000
,,,,
99,Sikat Gigi,7,20000,140000
99,Pasta Gigi,9,15000,135000
99,Baju Anak,9,50000,450000
99,Susu,5,15000,75000
99,prochiz,7,25000,175000
99,Head & Shoulders,5,60000,300000
99,Paracetamol,9,30000,270000
99,Ultra Milk,5,10000,50000
99,Spidol,4,10000,40000
99,Pepperoni,5,25000,125000
99,TOTAL,,,1760000
,,,,
100,Cupcakes,4,5000,20000
100,Daging Sapi Segar,4,75000,300000
100,Teh,1,10000,10000
100,Pensil,5,3000,15000
100,prochiz,1,25000,25000
100,Penghapus,1,5000,5000
100,Muffin,4,25000,100000
100,Earphone,4,50000,200000
100,Bulpen,1,10000,10000
100,Pepperoni,1,25000,25000
100,TOTAL,,,710000
,,,,
