Receipt ID,Item,Quantity,Price,Item Total
11,Kopi,3,20000,60000
11,prochiz,6,25000,150000
11,TOTAL,,,210000
,,,,
12,Muffin,6,25000,150000
12,Ultra Milk,1,10000,10000
12,TOTAL,,,160000
,,,,
13,Sepatu,8,150000,1200000
13,Anggur,4,30000,120000
13,TOTAL,,,1320000
,,,,
14,Ayam Goreng,4,50000,200000
14,Kit Kat,10,5000,50000
14,TOTAL,,,250000
,,,,
15,Sapu,10,30000,300000
15,Voucher Steam,8,10000,80000
15,TOTAL,,,380000
,,,,
16,Anggur,2,30000,60000
16,Kit Kat,7,5000,35000
16,TOTAL,,,95000
,,,,
17,Rokok,3,20000,60000
17,Vitamin C,7,50000,350000
17,TOTAL,,,410000
,,,,
18,Ember,3,30000,90000
18,Ayam Goreng,7,50000,350000
18,TOTAL,,,440000
,,,,
19,Kit Kat,7,5000,35000
19,Panadol,7,5000,35000
19,TOTAL,,,70000
,,,,
20,Pasta Gigi,2,15000,30000
20,Muffin,2,25000,50000
20,TOTAL,,,80000
,,,,
